tier,variant,p_retained,delta_vs_dense,ci_lo,ci_hi,n
<=3.8B,s0.5,0.5,0.025758101186021995,-0.024589445453468972,0.08963987854013845,4
<=3.8B,s0.9,0.09999999999999998,0.06653753486808202,-0.031213313047886326,0.1819538556088589,4
<=3.8B,s0.95,0.050000000000000044,0.05561165445556447,-0.040972197387532217,0.1946853558418412,4
<=3.8B,s0.97,0.030000000000000027,-0.00910558202340303,-0.1145986022277832,0.1721113355822929,4
<=3.8B,s0.99,0.010000000000000009,-0.07535508810180419,-0.16651546727625138,0.015805291072643002,4
<=3.8B,s0.995,0.0050000000000000044,-0.22559637354757173,-0.2847136424484778,-0.15547540871429233,4
<=3.8B,s0.999,0.0010000000000000009,-0.41652450655884543,-0.51314551306099,-0.33072234113493504,4
7-9B,s0.5,0.5,-0.0015865417074915622,-0.01681001164574525,0.013636928230762124,2
7-9B,s0.9,0.09999999999999998,0.015650453109459256,-0.0005030726479355319,0.031803978866854044,2
7-9B,s0.95,0.050000000000000044,0.11066873281675416,0.015885056474521764,0.20545240915898655,2
7-9B,s0.97,0.030000000000000027,0.09711375429606017,-0.0054854440293005124,0.19971295262142086,2
7-9B,s0.99,0.010000000000000009,0.1119797330866828,0.013491921727542211,0.21046754444582338,2
7-9B,s0.995,0.0050000000000000044,0.1308151139312364,0.010718838933419406,0.2509113889290534,2
7-9B,s0.999,0.0010000000000000009,-0.07399896665147357,-0.12102013284035718,-0.026977800462589963,2
27-32B,s0.9,0.09999999999999998,-0.02272795461528932,-0.03504677652537587,-0.011393376375594073,4
27-32B,s0.95,0.050000000000000044,-0.00584048592911322,-0.03643173617723734,0.028298164887251544,4
27-32B,s0.99,0.010000000000000009,-0.011197270199809855,-0.05807378948065615,0.03567924908103644,4
27-32B,s0.995,0.0050000000000000044,-0.07761724218056697,-0.17701622531076627,0.014166466992181034,4
27-32B,s0.999,0.0010000000000000009,-0.19503983012534237,-0.35092827220290546,-0.05265529594241638,4
27-32B,s0.9995,0.0004999999999999449,-0.2810819381747487,-0.46746051034799996,-0.11443592344505198,4
27-32B,p*:gemma27b|bbq_Age,0.008444774475956525,,,,
27-32B,p*:gemma27b|occ_gender,0.007177830772533093,,,,
27-32B,p*:qwen32b|bbq_Age,0.009040963487801956,,,,
27-32B,p*:qwen32b|occ_gender,0.008488109208209828,,,,
